"EDV,lv","EDP,lv","pEndIVC,lv","pMax,lv","ESV,lv","pEndEj,lv","EDV,rv","EDP,rv","pEndIVC,rv","pMax,rv","ESV,rv","pEndEj,rv","EDV,aWave,la","pMax,aWave,la","ESV,aWave,la","VMax,vWave,la","pMax,vWave,la","ESV,vWave,la","pMin,vWave,la","EDV,aWave,ra","pMax,aWave,ra","ESV,aWave,ra","VMax,vWave,ra","pMax,vWave,ra","ESV,vWave,ra","pMin,vWave,ra"
159.29,12.06,81.13,118.31,93.39,94.16,107.13,4.36,15.45,25.12,41.29,10.03,65.57,13.63,29.64,72.71,7.31,54.11,2.77,50.56,5.27,27.69,62.02,2.3,37.34,-0.39
150.84,7.88,36.74,115.58,85.6,89.33,110.68,2.33,12.1,28.77,46.87,12.23,58.66,13.58,27.78,70.08,7.17,49.78,2.1,46.67,4.65,29.42,65.28,3.0,42.38,0.1
159.22,17.51,64.09,137.27,74.22,110.87,120.86,6.75,17.07,34.36,35.26,9.87,72.49,15.0,32.03,84.89,10.51,53.45,2.48,58.15,7.4,26.66,67.03,2.82,35.9,-0.5
136.07,8.25,72.94,117.11,67.66,90.44,102.77,3.06,13.49,28.19,34.49,6.34,64.87,12.59,28.06,74.97,6.77,46.47,1.11,50.2,5.27,28.27,61.24,1.87,31.44,-0.82
138.59,10.86,78.19,120.54,75.92,98.17,102.67,4.27,15.7,28.38,40.05,11.01,65.67,12.95,29.29,71.22,6.36,50.87,1.96,51.54,5.66,26.87,61.03,2.0,34.12,-0.65
138.52,8.18,62.08,121.51,70.94,96.76,102.39,2.44,14.08,27.38,35.45,8.64,60.55,13.17,28.19,71.31,7.58,45.92,1.31,50.66,5.72,25.2,61.77,2.49,33.32,-0.86
138.84,9.41,81.61,116.99,70.51,94.03,108.8,4.36,15.68,30.14,40.49,11.7,62.35,13.59,26.11,69.95,6.29,45.88,1.18,51.44,6.57,23.94,61.96,2.23,35.62,-0.56
161.05,10.13,52.92,127.95,82.86,105.68,119.14,3.11,17.95,32.23,41.61,13.92,65.09,15.31,30.15,73.34,8.77,51.26,2.57,50.05,5.77,29.97,65.44,3.23,40.92,-0.06
147.2,11.41,84.56,116.2,73.6,92.55,108.26,4.99,13.22,26.87,34.63,6.83,61.37,12.66,28.21,69.96,7.91,47.15,1.72,53.3,6.29,24.35,60.43,2.53,33.42,-0.94
153.51,13.44,75.62,126.28,80.27,100.39,112.29,4.67,17.27,30.02,39.08,10.79,67.29,15.63,28.05,74.8,8.16,51.22,2.31,53.78,7.26,24.24,62.92,2.52,36.35,-0.52
155.88,12.01,37.34,120.66,80.23,95.5,116.35,3.15,12.6,29.93,41.06,10.5,66.56,16.07,29.7,83.83,9.92,54.44,2.65,49.63,5.96,29.42,68.85,3.02,40.43,-0.1
137.03,8.21,60.83,117.94,74.19,92.62,104.12,2.61,17.84,28.96,41.71,12.73,62.69,12.92,28.32,66.66,5.54,48.76,1.68,49.12,5.21,29.17,61.99,2.24,36.62,-0.46
139.37,7.95,34.36,120.88,73.37,99.06,102.95,2.09,11.09,28.99,37.63,10.05,56.16,12.57,27.05,65.16,6.44,44.78,1.21,46.27,4.54,28.6,61.3,2.69,37.73,-0.44
142.57,12.36,80.41,121.89,71.55,95.18,115.99,5.53,20.77,34.79,44.91,16.92,63.76,12.55,30.28,67.08,7.03,47.32,1.75,54.65,6.64,27.65,62.66,2.9,39.3,-0.25
148.0,7.62,69.16,111.99,86.7,87.46,110.9,3.54,20.78,28.87,49.67,14.98,57.21,10.91,29.14,62.76,5.73,47.6,1.81,48.19,4.24,30.05,62.14,2.82,42.18,0.08
146.36,12.54,83.5,114.26,94.51,95.57,93.98,3.99,14.77,21.8,42.23,9.22,65.71,13.89,27.71,70.19,5.75,57.24,3.02,46.55,4.64,28.86,57.49,1.52,34.46,-0.6
