"EDV,lv","EDP,lv","ESV,lv","pMax,lv","dp/dtMax,lv","dp/dtMin,lv","EDV,rv","EDP,rv","ESV,rv","pMax,rv","dp/dtMax,rv","dp/dtMin,rv","EDV,la","ESV,la","VMax,la","pMax,La","EDV,ra","ESV,ra","VMax,ra","pMax,ra"
150.26,6.84,110.91,101.95,1585.0,-643.0,120.43,3.75,85.86,24.16,395.0,-142.0,174.56,143.86,179.71,5.72,153.43,120.03,156.64,3.99
130.19,6.86,75.36,78.79,1136.0,-573.0,122.58,4.84,73.48,21.6,183.0,-110.0,164.2,146.64,182.76,4.42,161.32,133.09,165.18,4.09
155.85,4.96,114.66,99.79,1313.0,-550.0,111.43,3.08,73.61,25.62,399.0,-134.0,197.37,157.42,196.94,4.93,153.14,125.96,163.96,3.8
156.11,9.76,112.4,133.58,1910.0,-723.0,122.67,3.65,79.74,23.31,374.0,-128.0,189.33,142.94,190.52,7.51,147.66,113.81,150.61,3.55
138.75,6.83,100.66,122.73,1785.0,-638.0,108.63,3.29,75.19,29.96,508.0,-142.0,182.47,141.71,181.76,6.44,148.48,120.49,156.4,3.8
148.31,3.93,93.19,77.5,1039.0,-444.0,136.02,4.57,86.72,31.6,459.0,-167.0,156.21,127.57,171.83,3.5,169.27,121.52,175.84,5.52
120.39,3.54,66.65,81.05,1442.0,-470.0,140.03,4.71,91.65,31.84,544.0,-174.0,150.25,130.5,164.25,2.62,165.84,125.65,171.05,5.18
121.86,3.07,76.78,92.23,1443.0,-541.0,131.87,3.8,93.01,29.46,465.0,-147.0,152.99,135.15,166.34,2.88,157.93,124.93,165.89,4.59
144.51,3.69,109.27,81.13,1130.0,-576.0,150.27,3.02,120.3,27.0,395.0,-163.0,157.36,131.05,162.62,3.49,149.41,115.98,154.34,3.95
137.35,6.83,97.07,111.9,1907.0,-726.0,138.31,3.1,100.73,28.24,505.0,-166.0,174.09,138.74,179.96,6.05,151.81,116.03,153.79,3.78
172.0,9.29,135.03,113.76,1667.0,-720.0,113.14,3.48,73.66,20.75,234.0,-103.0,188.22,146.77,190.69,6.66,144.87,117.0,148.38,2.9
168.84,8.73,135.6,102.79,1216.0,-533.0,97.78,3.42,66.88,19.54,271.0,-109.0,195.19,160.52,195.7,6.7,149.8,127.61,152.49,2.71
156.36,5.7,109.01,108.62,1472.0,-617.0,111.9,3.53,68.34,24.03,271.0,-111.0,194.42,147.52,194.34,5.34,153.89,121.82,165.3,4.04
123.76,4.68,60.01,78.37,1023.0,-572.0,150.07,3.99,88.3,24.23,222.0,-127.0,171.03,144.15,194.0,4.71,165.02,127.97,175.43,4.4
161.81,7.1,113.84,145.25,1723.0,-827.0,118.06,2.77,72.35,22.77,297.0,-121.0,203.16,157.52,207.24,6.55,152.92,120.46,157.19,3.1
149.44,4.07,107.53,92.5,1328.0,-524.0,109.96,3.58,74.4,32.73,545.0,-163.0,166.65,144.11,176.06,3.28,153.9,126.11,164.38,3.5
120.31,5.74,51.45,91.49,1587.0,-533.0,137.79,5.16,72.21,28.5,256.0,-132.0,170.45,138.15,188.74,4.85,174.17,124.57,175.48,5.53
157.89,3.88,115.69,71.19,857.0,-412.0,130.62,4.12,92.8,27.61,382.0,-149.0,159.31,127.98,162.59,3.65,150.99,119.82,159.25,4.7
137.04,5.37,87.82,119.72,1885.0,-708.0,147.4,3.51,100.89,27.85,458.0,-148.0,156.67,131.05,171.99,5.17,147.62,112.69,152.09,4.36
150.13,7.06,103.94,116.79,1517.0,-696.0,125.65,3.29,82.68,23.71,327.0,-127.0,185.41,149.04,195.41,6.71,155.13,118.77,158.32,3.48
143.18,5.72,76.42,91.03,1286.0,-519.0,151.54,4.13,87.88,30.36,257.0,-130.0,179.23,140.52,196.58,5.03,165.39,121.27,172.23,4.47
149.04,3.87,108.63,74.58,1043.0,-446.0,112.75,3.99,80.14,29.34,463.0,-150.0,155.38,138.17,165.21,3.12,154.07,124.71,161.19,4.1
136.64,6.02,81.75,102.21,1817.0,-733.0,140.49,3.98,89.45,27.92,362.0,-164.0,174.3,134.17,182.75,6.27,162.74,111.86,164.62,5.53
157.83,8.43,109.58,101.61,1515.0,-616.0,136.36,3.15,88.39,23.17,243.0,-116.0,203.74,154.19,207.85,7.68,150.31,113.27,155.02,3.56
137.75,3.84,93.66,96.61,1557.0,-604.0,143.03,2.96,103.16,34.9,612.0,-187.0,158.25,134.66,168.73,3.79,152.12,119.46,156.47,3.69
144.55,3.79,102.48,78.84,1141.0,-467.0,130.34,3.86,92.96,31.55,481.0,-160.0,157.81,135.01,169.41,3.85,159.97,124.85,164.75,4.39
156.13,6.21,111.94,109.43,1634.0,-582.0,123.23,3.52,84.74,24.67,349.0,-116.0,168.53,135.02,175.29,5.8,147.86,114.83,152.75,3.96
128.74,5.85,88.72,106.12,1422.0,-665.0,118.53,3.47,82.95,24.7,360.0,-138.0,189.94,149.0,188.75,5.57,155.16,120.75,162.64,4.07
